VES S/N,Easting (Min),Northing (Min),Elev(m),No. of Layer,Curve Types,"Res. of layer
p1/p2/…pn-1",Thickness of layers h1/h2/h3/h4,"Depth of layers
d1/d2/d3/d4",Thickness Topsoil h1(m),Thickness Laterite h2(m),Thickness weathered h3 (m),Corrected Thick. weathered (m),Thickness Fractured h4 (m),Corrcted Thick. Fractured (m),"Thick. Overb.
B1=h1+h2",Total Aquifer Thick. B2=h3+h4,Corrected Total Aquifer Thick,DTFB= B1 + B2,Corrected DTB,Recom. DBH,p1,p2,p3,p4,p5,Res. Of Topsoil,Res. Of Laterite,Long. Cond. (mhos) Topsoil,Long. Cond. (mhos) Laterite,Long. Cond. (mhos) OVERBURRDEN,Storage Weathered,Storage Fractured,TOTAL STORAGE,Logarithm of Topsoil,RESISTIVITY OF FRESH BASEMENT,Logarithm Fresh Basement,"AQUIFER RES of Weathered. 
(Ohm-M)",Logarithm Weathered,Hydraulic Conductivity (K),Transmissivity (T),Cost of Constructing Borehole
1,36.94,28,343,4,KH,128.3/213/52.7/137.7,1.1/4.9/23.4,1.1/6.1/29.5,1.1,4.9,23.4,25.0146,0,0,6,23.4,25.0146,29.4,31.4286,46.4286,128.3,213,52.7,137.7,,128.3,213,0.009,0.023,0.032,30.018,0.000,30.018,2.108,137.700,2.139,52.700,1.722,9.5693,239.37241,301785.90
2,36.73,28.8,359,4,KH,518/583/252/752,0.8/1.6/22.7,0.8/2.5/25.2,0.8,1.6,22.7,24.2663,0,0,2.4,22.7,24.2663,25.1,26.8319,41.8319,518,583,252,752,,518,518,0.002,0.003,0.005,29.120,0.000,29.120,2.714,752.000,2.876,252.000,2.401,2.2230,53.94388,271907.35
3,36.6,28.75,397,3,A,12.4/68/385.6,0.8/9.5,0.8/10.4,0.8,0,9.5,10.1555,0,0,0.8,9.5,10.1555,10.3,11.0107,26.0107,12.4,68,385.6,,,12.4,0,0.065,0.000,0.065,12.187,0.000,12.187,1.093,385.600,2.586,68.000,1.833,7.5443,76.61594,169069.55
4,36.84,29.58,342,3,H,309.8/174.1/3533.3,0.9/6.7,0.9/7.6,0.9,0,6.7,7.1623,0,0,0.9,6.7,7.1623,7.6,8.1244,23.1244,309.8,174.1,3533.3,,,309.8,0,0.003,0.000,0.003,8.595,0.000,8.595,2.491,3533.300,3.548,174.100,2.241,3.1387,22.48047,150308.60
5,36.6,29.54,348,3,H,1303.7/292.7/940.5,2.5/62.2,2.5/64.7,2.5,0,62.2,66.4918,0,0,2.5,62.2,66.4918,64.7,69.1643,84.1643,1303.7,292.7,940.5,,,1303.7,0,0.002,0.000,0.002,79.790,0.000,79.790,3.115,940.500,2.973,292.700,2.466,1.9332,128.54409,547067.95
6,36.89,28.49,357,4,AK,51/88.4/1212/267.5,1.0/14.8/52.1,1.0/15.7/67.8,1,14.8,52.1,55.6949,0,0,15.8,52.1,55.6949,67.9,72.5851,87.5851,51,88.4,1212,267.5,,51,88.4,0.020,0.167,0.187,66.834,0.000,66.834,1.708,267.500,2.427,88.400,1.946,5.9065,328.96029,569303.15
7,36.79,28.15,387,3,A,53.7/125.1/5266.2,0.9/17.1,0.9/18.0,0.9,0,17.1,18.2799,0,0,0.9,17.1,18.2799,18,19.242,34.242,53.7,125.1,5266.2,,,53.7,0,0.017,0.000,0.017,21.936,0.000,21.936,1.730,5266.200,3.721,125.000,2.097,4.2754,78.15385,222573.00
8,36.53,28.46,310,4,HA,298.9/122.3/1378.9/3687.6,1.8/9.6/7.1,1.8/11.4/18.4,1.8,9.6,7.1,7.5899,0,0,11.4,7.1,7.5899,18.5,19.7765,34.7765,298.9,122.3,1378.9,3687.6,,298.9,122.3,0.006,0.078,0.085,9.108,0.000,9.108,2.476,3687.600,3.567,122.300,2.087,4.3634,33.11762,226047.25
9,36.08,30.06,390,3,H,266.5/45.4/634.7,2.0/12.7,2.0/14.6,2,0,12.7,13.5763,0,0,2,12.7,13.5763,14.7,15.7143,30.7143,266.5,45.4,634.7,,,266.5,0,0.008,0.000,0.008,16.292,0.000,16.292,2.426,634.700,2.803,45.400,1.657,10.9973,149.30252,199642.95
10,36.07,28.18,355,3,H,84.8/44.2/129.7,2.1/6.3,2.1/8.3,2.1,0,6.3,6.7347,0,0,2.1,6.3,6.7347,8.4,8.9796,23.9796,84.8,44.2,129.7,,,84.8,0,0.025,0.000,0.025,8.082,0.000,8.082,1.928,129.700,2.113,44.200,1.645,11.2756,75.93747,155867.40
11,36.88,28.56,362,4,KH,34.2/69.5/49.9/297.5,0.6/2.2/7.6,0.6/2.8/10.4,0.6,2.2,7.6,8.1244,0,0,2.8,7.6,8.1244,10.4,11.1176,26.1176,34.2,69.5,49.9,297.5,,34.2,69.5,0.018,0.032,0.049,9.749,0.000,9.749,1.534,297.500,2.473,49.900,1.698,10.0693,81.80678,169764.40
